Interval start,Interval stop,Camera serial number,Counter name,Pedestrians coming in,Pedestrians going out
2022-03-16 00:00:00,2022-03-16 01:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 01:00:00,2022-03-16 02:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 02:00:00,2022-03-16 03:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 03:00:00,2022-03-16 04:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 04:00:00,2022-03-16 05:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 05:00:00,2022-03-16 06:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 06:00:00,2022-03-16 07:00:00,ACCC8EFDF8A2,VALLEDUPAR2,1,1
2022-03-16 07:00:00,2022-03-16 08:00:00,ACCC8EFDF8A2,VALLEDUPAR2,0,0
2022-03-16 08:00:00,2022-03-16 09:00:00,ACCC8EFDF8A2,VALLEDUPAR2,16,9
2022-03-16 09:00:00,2022-03-16 10:00:00,ACCC8EFDF8A2,VALLEDUPAR2,12,11
2022-03-16 10:00:00,2022-03-16 11:00:00,ACCC8EFDF8A2,VALLEDUPAR2,39,34
2022-03-16 11:00:00,2022-03-16 12:00:00,ACCC8EFDF8A2,VALLEDUPAR2,30,32
2022-03-16 12:00:00,2022-03-16 13:00:00,ACCC8EFDF8A2,VALLEDUPAR2,12,10
2022-03-16 13:00:00,2022-03-16 14:00:00,ACCC8EFDF8A2,VALLEDUPAR2,10,10
2022-03-16 14:00:00,2022-03-16 15:00:00,ACCC8EFDF8A2,VALLEDUPAR2,16,13
2022-03-16 15:00:00,2022-03-16 16:00:00,ACCC8EFDF8A2,VALLEDUPAR2,9,4
2022-03-16 00:00:00,2022-03-16 01:00:00,ACCC8E9AF7E3,CENTRAL_BMGA_Cll35,0,0
